id,main_id,title,url,summary,follow_count
0,2,Get help with InVision,https://support.invisionapp.com/hc/en-us/community/topics/115000035703,Need help getting started with InVision? Have a burning question? Chat with our community of designers and get help now.,6
1,2,Explore Craft,https://support.invisionapp.com/hc/en-us/community/topics/115000035723,Just starting out with Craft? Want to chat with other designers and learn how it fits into their workflow? Discuss all things Craft.,7
2,2,Community resources,https://support.invisionapp.com/hc/en-us/community/topics/115000034366,Looking for resources to jump start your design? In search of tutorials? Made something helpful? Share it here!,6
